Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bahrain,BHR,43713.16463,40668.6074,51482.19071,60050.2257,59159.52587,61947.68346,64190.67782,67897.41934,72331.70108,71371.79345,72941.2573,77321.86427,82494.19512,87163.10514,91263.992,107917.9101,114616.2877,120207.7172,126332.5869,125552.3768,140457.5104,141201.5047,140139.1461,170118.0157,184581.9444
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bangladesh,BGD,398042.7185,389710.9028,404196.9796,413146.0971,432277.7634,467365.7851,464175.1086,496945.1503,502907.0698,511066.3056,534147.0873,576925.6744,602080.0526,632100.7065,648625.4618,675708.4894,710968.0024,741143.1911,781353.6369,820608.3201,885612.6607,933742.6062,964231.9724,973013.911,1018136.311
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Barbados,BRB,9529.98,9307.71,8412.59,8266.82,8788.1,8908.03,9128.16,9823.48,10023.42,10767.28,11147.3,10774.54,10843.4,10766.77,11065.95,11494.63,11718.33,12002.25,13226.93,13154.75,13129.13,12330.33,12406.94,11518.24,11589.53
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Belarus,BLR,1052010.83,1033668.166,952022.4262,853495.9272,696511.4425,649889.4986,686113.3154,690191.761,694422.3549,670994.2782,628147.9067,631055.3044,623666.4816,635720.6556,639549.2749,660173.996,689354.6941,679453.2889,695059.2928,671619.4093,713427.5799,711596.2317,735681.2174,738221.8514,712310.123
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Belgium,BEL,1214242.422,1284674.069,1292928.136,1281598.781,1323613.068,1344455.126,1434956.199,1415919.782,1442386.262,1437978.189,1458452.144,1495641.814,1416095.251,1467123.467,1474290.013,1429357.694,1415524.842,1369002.502,1449771.526,1395316.498,1515432.566,1362944.537,1365537.171,1417696.325,1326022.697
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Belize,BLZ,6142.92,7363.52,6390.74,6645.3,6693.05,7090.43,6300.2,7475.88,6929.69,7160.4,8416.13,8793.64,8665.82,8225.92,7935.84,8329.02,9732.03,9624.81,9221.55,11036.03,10556.31,11883.71,10428.29,10763.05,10723.71
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Benin,BEN,60124.75074,60820.17822,62344.55023,63749.47284,65225.40358,66582.59666,82522.62349,85498.81027,84494.43882,83628.48298,69557.15059,75283.31135,80978.74099,85916.61104,89805.64583,94697.168,108200.4354,117201.846,119843.0051,127525.9924,134363.8742,138177.5047,143289.0432,150067.5561,158814.4512
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bermuda,BMU,5382,5981.6,4799.4,5646.4,5398.6,5148.8,4857.8,4618,4487.4,4465.4,4487.6,4513,4773.3,4613.3,4622.2,4873.34,5383.22,5021.94,4840.56,4845.77,4867.24,4711.51,6085.49,4048.38,4709.03
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,BES Islands,BES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3545.65,3608.15,3612.47
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Bhutan,BTN,37158.77,37327.31,37620.5,37423.86,38302.82,38887.81,39949.75,41393.35,42499.27,43135.2,43965.38,44411.08,45688.31,45882.76,45994.21,47139.28,48566.14,50656.51,52665.37,54377.43,56604.85,57876.78,59752.46,61323.55,61654.16
