,pais,pct_chg_co2
1929,Sri Lanka,-2.9774564015312754
1939,Sudan,-1.34336378291241
1949,Suriname,0.0
1959,Sweden,-7.213243988963347
1969,Switzerland,-1.9934393136512685
1979,Syria,18.666155615178237
1989,Taiwan,6.012054056077565
1999,Tajikistan,9.919999999999995
2009,Tanzania,6.099815157116462
2019,Thailand,1.0179302085759012
2029,The Bahamas,8.743169398907092
2039,Timor-Leste,0.0
2049,Togo,24.175824175824157
2059,Tonga,-11.764705882352954
2069,Trinidad and Tobago,-0.9540117416829808
2079,Tunisia,2.4676375404530715
2089,Turkey,-1.2045200546380141
2099,Turkmenistan,0.1543845203787697
2109,Turks and Caicos Islands,0.0
2119,Tuvalu,0.0
2129,U.S. Pacific Islands,0.0
2139,U.S. Territories,0.0
2149,U.S. Virgin Islands,0.0
2159,Uganda,8.703703703703702
2169,Ukraine,2.43297926150734
2179,United Arab Emirates,-1.1827491706331905
2189,United Kingdom,-1.1254057953589025
2199,United States,2.8475486642188352
2209,Uruguay,5.331412103746391
2219,Uzbekistan,-0.8479648842777299
2229,Vanuatu,27.77777777777779
2239,Venezuela,-6.3728282540586605
2249,Vietnam,13.814365056951882
2259,Wake Island,0.0
2269,Western Sahara,0.0
2279,World,1.662805081864649
2289,Yemen,-8.29646017699115
2299,Zambia,24.78031634446396
2309,Zimbabwe,-3.0303030303030276
