pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
Austria,natural_gas,1980,0.19,0.07,212.49,7550.41,145.34,5.16,
Austria,petroleum_n_other_liquids,1980,0.5,0.06,212.49,7550.41,145.34,5.16,
Austria,nuclear,1980,,,212.49,7550.41,145.34,5.16,0.0
Austria,renewables_n_other,1980,0.31,0.3,212.49,7550.41,145.34,5.16,0.0
Azerbaijan,all_energy_types,1980,,,,,,,
Azerbaijan,coal,1980,,,,,,,
Azerbaijan,natural_gas,1980,,,,,,,
Azerbaijan,petroleum_n_other_liquids,1980,,,,,,,
Azerbaijan,nuclear,1980,,,,,,,0.0
Azerbaijan,renewables_n_other,1980,,,,,,,0.0
Bahrain,all_energy_types,1980,0.14,0.22,,339.6,403.64,0.0,
Bahrain,coal,1980,0.0,0.0,,339.6,403.64,0.0,
Bahrain,natural_gas,1980,0.1,0.1,,339.6,403.64,0.0,
Bahrain,petroleum_n_other_liquids,1980,0.03,0.12,,339.6,403.64,0.0,
Bahrain,nuclear,1980,,,,339.6,403.64,0.0,0.0
Bahrain,renewables_n_other,1980,0.0,0.0,,339.6,403.64,0.0,0.0
Bangladesh,all_energy_types,1980,0.12,0.05,,79639.5,1.54,0.0,
Bangladesh,coal,1980,0.0,0.0,,79639.5,1.54,0.0,
Bangladesh,natural_gas,1980,0.05,0.05,,79639.5,1.54,0.0,
Bangladesh,petroleum_n_other_liquids,1980,0.07,0.0,,79639.5,1.54,0.0,
Bangladesh,nuclear,1980,,,,79639.5,1.54,0.0,0.0
Bangladesh,renewables_n_other,1980,0.01,0.01,,79639.5,1.54,0.0,0.0
Barbados,all_energy_types,1980,0.01,0.0,,252.39,57.88,0.0,
Barbados,coal,1980,0.0,0.0,,252.39,57.88,0.0,
Barbados,natural_gas,1980,0.0,0.0,,252.39,57.88,0.0,
Barbados,petroleum_n_other_liquids,1980,0.01,0.0,,252.39,57.88,0.0,
Barbados,nuclear,1980,,,,252.39,57.88,0.0,0.0
Barbados,renewables_n_other,1980,0.0,0.0,,252.39,57.88,0.0,0.0
Belarus,all_energy_types,1980,,,,,,,
Belarus,coal,1980,,,,,,,
Belarus,natural_gas,1980,,,,,,,
Belarus,petroleum_n_other_liquids,1980,,,,,,,
Belarus,nuclear,1980,,,,,,,0.0
Belarus,renewables_n_other,1980,,,,,,,0.0
Belgium,all_energy_types,1980,2.12,0.3,268.0,9860.28,215.21,7.92,
Belgium,coal,1980,0.46,0.17,268.0,9860.28,215.21,7.92,
Belgium,natural_gas,1980,0.4,0.0,268.0,9860.28,215.21,7.92,
Belgium,petroleum_n_other_liquids,1980,1.13,0.0,268.0,9860.28,215.21,7.92,
Belgium,nuclear,1980,0.12,0.12,268.0,9860.28,215.21,7.92,0.0
Belgium,renewables_n_other,1980,0.01,0.01,268.0,9860.28,215.21,7.92,0.0
Belize,all_energy_types,1980,0.0,0.0,,144.14,24.92,0.0,
Belize,coal,1980,0.0,0.0,,144.14,24.92,0.0,
Belize,natural_gas,1980,0.0,0.0,,144.14,24.92,0.0,
Belize,petroleum_n_other_liquids,1980,0.0,0.0,,144.14,24.92,0.0,
Belize,nuclear,1980,,,,144.14,24.92,0.0,0.0
Belize,renewables_n_other,1980,0.0,0.0,,144.14,24.92,0.0,0.0
Benin,all_energy_types,1980,0.01,0.0,,3717.16,1.76,0.0,
Benin,coal,1980,0.0,0.0,,3717.16,1.76,0.0,
Benin,natural_gas,1980,0.0,0.0,,3717.16,1.76,0.0,
Benin,petroleum_n_other_liquids,1980,0.01,0.0,,3717.16,1.76,0.0,
Benin,nuclear,1980,,,,3717.16,1.76,0.0,0.0
Benin,renewables_n_other,1980,0.0,0.0,,3717.16,1.76,0.0,0.0
Bermuda,all_energy_types,1980,0.01,0.0,,,0.0,0.0,
Bermuda,coal,1980,0.0,0.0,,,0.0,0.0,
Bermuda,natural_gas,1980,0.0,0.0,,,0.0,0.0,
Bermuda,petroleum_n_other_liquids,1980,0.01,0.0,,,0.0,0.0,
Bermuda,nuclear,1980,,,,,0.0,0.0,0.0
Bermuda,renewables_n_other,1980,0.0,0.0,,,0.0,0.0,0.0
Bhutan,all_energy_types,1980,0.0,0.0,0.54,406.88,0.33,0.25,
Bhutan,coal,1980,0.0,0.0,0.54,406.88,0.33,0.25,
Bhutan,natural_gas,1980,0.0,0.0,0.54,406.88,0.33,0.25,
Bhutan,petroleum_n_other_liquids,1980,0.0,0.0,0.54,406.88,0.33,0.25,
Bhutan,nuclear,1980,,,0.54,406.88,0.33,0.25,0.0
Bhutan,renewables_n_other,1980,0.0,0.0,0.54,406.88,0.33,0.25,0.0
Bolivia,all_energy_types,1980,0.07,0.15,,5579.93,13.36,0.0,
Bolivia,coal,1980,0.0,0.0,,5579.93,13.36,0.0,
Bolivia,natural_gas,1980,0.01,0.07,,5579.93,13.36,0.0,
Bolivia,petroleum_n_other_liquids,1980,0.05,0.06,,5579.93,13.36,0.0,
Bolivia,nuclear,1980,,,,5579.93,13.36,0.0,0.0
