,pais,pbi,anio,co2,pct_chg_co2,cumplimiento
1639,China,23128.34,2019,10608.6,29.307886018522368,-165.13
8799,United States,19925.43,2019,5277.19,-2.3404507315412215,-94.8
3959,India,9310.29,2019,2308.33,49.2567327276842,-209.46
4279,Japan,5359.05,2019,1140.95,-0.34326741667249916,-99.24
6799,Russia,3770.42,2019,1798.24,19.437562683067778,-143.19
6079,North Korea,43.14,2019,20.15,-67.81150159744409,50.69
7639,South Sudan,17.33,2019,1.68,-99.761010583817,121.69
8599,U.S. Virgin Islands,1.88,2019,2.44,-61.0223642172524,35.61
