pais,pbi,anio,co2,pct_chg_co2,cumplimiento,carbon_produccion,gas_produccion,petroleo_produccion,cpm_carbon,cpm_gas,cpm_petroleo
Israel,349.75,2019,64.59,-0.9659613615455308,-97.85341919656548,,,,sin_dato,sin_dato,sin_dato
Italy,2340.37,2019,339.58,-16.771647753731532,-62.72967165837437,,46.21,49.76,sin_dato,-202.68888888888893,-182.93333333333334
Jamaica,26.75,2019,8.07,-13.5048231511254,-69.989281886388,,,,sin_dato,sin_dato,sin_dato
Japan,5359.05,2019,1140.95,-0.3432674166724991,-99.23718351850556,4.89,,,-105.14736842105263,sin_dato,sin_dato
Jordan,94.78,2019,24.33,29.20870950610728,-164.90824334690507,,,,sin_dato,sin_dato,sin_dato
Kazakhstan,464.79,2019,269.71,9.651583526446306,-121.44796339210288,575.55,330.72,1058.84,-705.8421052631578,-834.9333333333334,-1864.7333333333331
Kenya,211.47,2019,18.75,65.92920353982299,-246.50934119960667,,,,sin_dato,sin_dato,sin_dato
Kuwait,180.99,2019,92.89,10.202871040455562,-122.67304675656791,,181.55,1667.53,sin_dato,-503.44444444444446,-2879.2166666666667
Kyrgyzstan,29.77,2019,9.12,-1.2987012987013102,-97.11399711399709,,,,sin_dato,sin_dato,sin_dato
Laos,53.3,2019,29.95,3789.6103896103896,-8521.35642135642,,,,sin_dato,sin_dato,sin_dato
Latvia,55.59,2019,7.87,-6.753554502369664,-84.99210110584518,,,,sin_dato,sin_dato,sin_dato
Lebanon,92.46,2019,25.48,31.611570247933884,-170.2479338842975,,,,sin_dato,sin_dato,sin_dato
Lesotho,6.32,2019,0.72,259.99999999999994,-677.7777777777777,,,,sin_dato,sin_dato,sin_dato
Liberia,5.6,2019,1.35,125.00000000000004,-377.7777777777779,,,,sin_dato,sin_dato,sin_dato
Libya,84.25,2019,39.87,-24.474332259897714,-45.61259497800508,,134.8,672.35,sin_dato,-399.5555555555556,-1220.5833333333335
Lithuania,97.41,2019,14.26,4.930095658572475,-110.95576813016106,,,,sin_dato,sin_dato,sin_dato
Luxembourg,66.22,2019,11.17,-2.189141856392296,-95.13524031912824,,,,sin_dato,sin_dato,sin_dato
Madagascar,43.65,2019,3.39,85.24590163934427,-289.43533697632057,,,,sin_dato,sin_dato,sin_dato
Malawi,28.4,2019,1.51,62.36559139784945,-238.5902031063321,,,,sin_dato,sin_dato,sin_dato
Malaysia,908.76,2019,247.43,38.95877794002023,-186.57506208893383,,764.42,355.43,sin_dato,-1798.7111111111112,-692.3833333333333
Mali,43.36,2019,5.26,651.4285714285714,-1547.6190476190477,,,,sin_dato,sin_dato,sin_dato
Mauritania,19.27,2019,3.88,104.21052631578948,-331.57894736842104,,,,sin_dato,sin_dato,sin_dato
Mauritius,27.96,2019,6.94,58.4474885844749,-229.8833079654998,,,,sin_dato,sin_dato,sin_dato
Mexico,2384.14,2019,456.15,1.0589981611538235,-102.3533292470085,64.02,312.95,1104.85,-167.38947368421051,-795.4444444444445,-1941.4166666666667
Moldova,30.94,2019,7.98,26.465927099841547,-158.81317133298123,,,,sin_dato,sin_dato,sin_dato
Mongolia,39.25,2019,20.9,35.18758085381628,-178.19462411959174,302.31,,,-418.22105263157897,sin_dato,sin_dato
Montenegro,11.98,2019,2.52,76.22377622377623,-269.3861693861694,,,,sin_dato,sin_dato,sin_dato
Morocco,275.65,2019,59.03,37.79178338001867,-183.981740844486,,,,sin_dato,sin_dato,sin_dato
Mozambique,38.11,2019,7.79,210.35856573705183,-567.4634794156708,,,,sin_dato,sin_dato,sin_dato
Namibia,24.41,2019,3.91,21.42857142857142,-147.6190476190476,,,,sin_dato,sin_dato,sin_dato
Nepal,101.27,2019,8.31,182.65306122448985,-505.8956916099774,,,,sin_dato,sin_dato,sin_dato
Netherlands,934.92,2019,216.83,-8.58383574349677,-80.92480945889606,,278.44,,sin_dato,-718.7555555555556,sin_dato
New Zealand,198.66,2019,38.96,10.87080250426864,-124.15733889837476,22.22,,,-123.38947368421051,sin_dato,sin_dato
Nicaragua,33.56,2019,5.03,16.97674418604653,-137.7260981912145,,,,sin_dato,sin_dato,sin_dato
Niger,28.87,2019,2.28,98.26086956521738,-318.3574879227053,,,,sin_dato,sin_dato,sin_dato
Nigeria,1015.89,2019,101.19,133.96531791907512,-397.7007064868336,,492.79,1175.88,sin_dato,-1195.088888888889,-2059.8
North Korea,43.14,2019,20.15,-67.81150159744409,50.692225772097984,,,,sin_dato,sin_dato,sin_dato
Norway,330.28,2019,38.06,-12.926103866392124,-71.27532474135083,,1142.6,927.82,sin_dato,-2639.111111111111,-1646.3666666666668
Oman,141.21,2019,75.87,75.62500000000001,-268.0555555555556,,366.9,550.43,sin_dato,-915.3333333333333,-1017.3833333333332
Pakistan,1039.88,2019,192.9,36.89589099425166,-181.9908688761148,36.85,326.93,,-138.78947368421052,-826.5111111111111,sin_dato
Panama,118.86,2019,26.79,66.1910669975186,-247.0912599944858,,,,sin_dato,sin_dato,sin_dato
Papua New Guinea,32.45,2019,6.32,97.5,-316.66666666666663,,,,sin_dato,sin_dato,sin_dato
Paraguay,86.3,2019,8.34,103.41463414634148,-329.8102981029811,,,,sin_dato,sin_dato,sin_dato
Peru,402.28,2019,52.92,45.185185185185176,-200.41152263374485,,134.96,71.0,sin_dato,-399.91111111111115,-218.33333333333331
Philippines,949.71,2019,135.22,88.14526227911506,-295.8783606202557,,,,sin_dato,sin_dato,sin_dato
Poland,1217.99,2019,319.67,6.659771112075008,-114.79949136016668,518.82,39.85,,-646.1263157894737,-188.55555555555554,sin_dato
