pais;pais_iso;indicador;anio;frecuencia
Bulgaria;BGR;Wildfire;1980;0.0
Burkina Faso;BFA;Drought;1980;1.0
Burkina Faso;BFA;Flood;1980;0.0
Burkina Faso;BFA;TOTAL;1980;1.0
Burundi;BDI;Drought;1980;0.0
Burundi;BDI;Flood;1980;0.0
Burundi;BDI;Landslide;1980;0.0
Burundi;BDI;Storm;1980;0.0
Burundi;BDI;TOTAL;1980;0.0
Cabo Verde;CPV;Drought;1980;1.0
Cabo Verde;CPV;Flood;1980;0.0
Cabo Verde;CPV;Storm;1980;0.0
Cabo Verde;CPV;TOTAL;1980;1.0
Cambodia;KHM;Drought;1980;0.0
Cambodia;KHM;Flood;1980;0.0
Cambodia;KHM;Storm;1980;0.0
Cambodia;KHM;TOTAL;1980;0.0
Cameroon;CMR;Drought;1980;0.0
Cameroon;CMR;Flood;1980;0.0
Cameroon;CMR;Landslide;1980;0.0
Cameroon;CMR;TOTAL;1980;0.0
Canada;CAN;Drought;1980;0.0
Canada;CAN;Extreme temperature;1980;0.0
Canada;CAN;Flood;1980;0.0
Canada;CAN;Storm;1980;0.0
Canada;CAN;TOTAL;1980;1.0
Canada;CAN;Wildfire;1980;1.0
Canary Island;SPI;Extreme temperature;1980;0.0
Canary Island;SPI;Flood;1980;0.0
Canary Island;SPI;Storm;1980;0.0
Canary Island;SPI;TOTAL;1980;0.0
Canary Island;SPI;Wildfire;1980;0.0
Cayman Islands;CYM;Storm;1980;0.0
Cayman Islands;CYM;TOTAL;1980;0.0
Central African Rep.;CAF;Drought;1980;0.0
Central African Rep.;CAF;Flood;1980;0.0
Central African Rep.;CAF;Storm;1980;0.0
Central African Rep.;CAF;TOTAL;1980;0.0
Central African Rep.;CAF;Wildfire;1980;0.0
Chad;TCD;Drought;1980;1.0
Chad;TCD;Flood;1980;0.0
Chad;TCD;Landslide;1980;0.0
Chad;TCD;Storm;1980;0.0
Chad;TCD;TOTAL;1980;1.0
Chile;CHL;Drought;1980;0.0
Chile;CHL;Extreme temperature;1980;0.0
Chile;CHL;Flood;1980;0.0
Chile;CHL;Landslide;1980;0.0
Chile;CHL;Storm;1980;0.0
Chile;CHL;TOTAL;1980;0.0
Chile;CHL;Wildfire;1980;0.0
China, P.R.: Hong Kong;HKG;Drought;1980;0.0
China, P.R.: Hong Kong;HKG;Extreme temperature;1980;0.0
China, P.R.: Hong Kong;HKG;Flood;1980;0.0
China, P.R.: Hong Kong;HKG;Landslide;1980;0.0
China, P.R.: Hong Kong;HKG;Storm;1980;2.0
China, P.R.: Hong Kong;HKG;TOTAL;1980;4.0
China, P.R.: Hong Kong;HKG;Wildfire;1980;2.0
China, P.R.: Macao;MAC;Storm;1980;0.0
China, P.R.: Macao;MAC;TOTAL;1980;0.0
China, P.R.: Mainland;CHN;Drought;1980;0.0
China, P.R.: Mainland;CHN;Extreme temperature;1980;0.0
China, P.R.: Mainland;CHN;Flood;1980;4.0
China, P.R.: Mainland;CHN;Landslide;1980;0.0
China, P.R.: Mainland;CHN;Storm;1980;1.0
China, P.R.: Mainland;CHN;TOTAL;1980;5.0
China, P.R.: Mainland;CHN;Wildfire;1980;0.0
Colombia;COL;Drought;1980;0.0
Colombia;COL;Flood;1980;1.0
Colombia;COL;Landslide;1980;0.0
Colombia;COL;Storm;1980;0.0
Colombia;COL;TOTAL;1980;1.0
Colombia;COL;Wildfire;1980;0.0
Comoros, Union of the;COM;Drought;1980;0.0
Comoros, Union of the;COM;Flood;1980;0.0
Comoros, Union of the;COM;Storm;1980;0.0
Comoros, Union of the;COM;TOTAL;1980;0.0
Congo, Dem. Rep. of the;COD;Drought;1980;0.0
Congo, Dem. Rep. of the;COD;Flood;1980;0.0
Congo, Dem. Rep. of the;COD;Landslide;1980;0.0
Congo, Dem. Rep. of the;COD;Storm;1980;0.0
Congo, Dem. Rep. of the;COD;TOTAL;1980;0.0
Congo, Dem. Rep. of the;COD;Wildfire;1980;0.0
Congo, Rep. of;COG;Drought;1980;0.0
Congo, Rep. of;COG;Flood;1980;0.0
Congo, Rep. of;COG;TOTAL;1980;0.0
Cook Islands;COK;Storm;1980;0.0
Cook Islands;COK;TOTAL;1980;0.0
Costa Rica;CRI;Drought;1980;0.0
Costa Rica;CRI;Flood;1980;1.0
Costa Rica;CRI;Landslide;1980;0.0
Costa Rica;CRI;Storm;1980;0.0
Costa Rica;CRI;TOTAL;1980;1.0
Costa Rica;CRI;Wildfire;1980;0.0
Côte d'Ivoire;CIV;Drought;1980;1.0
Côte d'Ivoire;CIV;Flood;1980;0.0
Côte d'Ivoire;CIV;Landslide;1980;0.0
Côte d'Ivoire;CIV;TOTAL;1980;1.0
Croatia, Rep. of;HRV;Drought;1980;0.0
Croatia, Rep. of;HRV;Extreme temperature;1980;0.0
Croatia, Rep. of;HRV;Flood;1980;0.0
Croatia, Rep. of;HRV;Storm;1980;0.0
Croatia, Rep. of;HRV;TOTAL;1980;0.0
Croatia, Rep. of;HRV;Wildfire;1980;0.0
Cuba;CUB;Drought;1980;0.0
Cuba;CUB;Flood;1980;0.0
Cuba;CUB;Storm;1980;1.0
