;pais;codigo_iso;anio;valor;info_codigo
140;Morocco;MAR;1990;3.25;6.1
141;Mozambique;MOZ;1990;49.44;6.1
142;Myanmar;MMR;1990;14.89;6.1
143;Namibia;NAM;1990;;6.1
144;Nepal;NPL;1990;10.79;6.1
145;Netherlands;NLD;1990;5.69;6.1
146;Netherlands Antilles;ANT;1990;;6.1
147;New Caledonia;NCL;1990;;6.1
148;New Zealand;NZL;1990;6.66;6.1
149;Nicaragua;NIC;1990;6.75;6.1
150;Niger;NER;1990;6.58;6.1
151;Nigeria;NGA;1990;9.6;6.1
152;Northern Mariana Islands;MNP;1990;;6.1
153;Norway;NOR;1990;4.8;6.1
154;Oman;OMN;1990;2.78;6.1
155;Pakistan;PAK;1990;5.46;6.1
156;Palau;PLW;1990;;6.1
157;Panama;PAN;1990;3.28;6.1
158;Papua New Guinea;PNG;1990;13.19;6.1
159;Paraguay;PRY;1990;5.06;6.1
160;Peru;PER;1990;3.55;6.1
161;Philippines;PHL;1990;4.84;6.1
162;Poland;POL;1990;11.17;6.1
163;Portugal;PRT;1990;3.47;6.1
164;Puerto Rico;PRI;1990;0.01;6.1
165;Qatar;QAT;1990;8.03;6.1
166;Reunion;REU;1990;;6.1
167;Romania;ROM;1990;10.05;6.1
168;Russian Federation;RUS;1990;12.03;6.1
169;Rwanda;RWA;1990;5.73;6.1
170;Saint Pierre et Miquelon;SPM;1990;;6.1
171;Samoa;WSM;1990;4.34;6.1
172;San Marino;SMR;1990;;6.1
173;Sao Tome and Principe;STP;1990;5.71;6.1
174;Saudi Arabia;SAU;1990;4.2;6.1
175;Senegal;SEN;1990;5.04;6.1
176;Serbia;SRB;1990;7.23;6.1
177;Seychelles;SYC;1990;2.23;6.1
178;Sierra Leone;SLE;1990;9.32;6.1
179;Singapore;SGP;1990;4.62;6.1
180;Sint Maarten (Dutch part);SXM;1990;;6.1
181;Slovak Republic;SVK;1990;11.83;6.1
182;Slovenia;SVN;1990;6.4;6.1
183;Solomon Islands;SLB;1990;9.4;6.1
184;Somalia;SOM;1990;23.57;6.1
185;South Africa;ZAF;1990;10.44;6.1
186;South Sudan;SSD;1990;;6.1
187;Spain;ESP;1990;4.03;6.1
188;Sri Lanka;LKA;1990;3.69;6.1
189;St. Kitts and Nevis;KNA;1990;3.69;6.1
190;St. Lucia;LCA;1990;2.24;6.1
191;St. Martin (French part);MAF;1990;;6.1
192;St. Vincent and the Grenadines;VCT;1990;2.19;6.1
193;Sudan;SDN;1990;9.85;6.1
194;Suriname;SUR;1990;5.11;6.1
195;Swaziland;SWZ;1990;3.65;6.1
