;pais;codigo_iso;anio;valor;info_codigo
139;Montserrat;MSR;1990;;1.1
140;Morocco;MAR;1990;46.88;1.1
141;Mozambique;MOZ;1990;;1.1
142;Myanmar;MMR;1990;41.32;1.1
143;Namibia;NAM;1990;25.2;1.1
144;Nepal;NPL;1990;;1.1
145;Netherlands;NLD;1990;100.0;1.1
146;Netherlands Antilles;ANT;1990;;1.1
147;New Caledonia;NCL;1990;;1.1
148;New Zealand;NZL;1990;100.0;1.1
149;Nicaragua;NIC;1990;66.92;1.1
150;Niger;NER;1990;2.95;1.1
151;Nigeria;NGA;1990;27.3;1.1
152;Northern Mariana Islands;MNP;1990;;1.1
153;Norway;NOR;1990;100.0;1.1
154;Oman;OMN;1990;;1.1
155;Pakistan;PAK;1990;58.74;1.1
156;Palau;PLW;1990;97.49;1.1
157;Panama;PAN;1990;70.19;1.1
158;Papua New Guinea;PNG;1990;6.17;1.1
159;Paraguay;PRY;1990;79.01;1.1
160;Peru;PER;1990;60.29;1.1
161;Philippines;PHL;1990;61.98;1.1
162;Poland;POL;1990;100.0;1.1
163;Portugal;PRT;1990;100.0;1.1
164;Puerto Rico;PRI;1990;;1.1
165;Qatar;QAT;1990;100.0;1.1
166;Reunion;REU;1990;;1.1
167;Romania;ROM;1990;100.0;1.1
168;Russian Federation;RUS;1990;100.0;1.1
169;Rwanda;RWA;1990;;1.1
170;Saint Pierre et Miquelon;SPM;1990;;1.1
171;Samoa;WSM;1990;77.74;1.1
172;San Marino;SMR;1990;100.0;1.1
173;Sao Tome and Principe;STP;1990;42.48;1.1
174;Saudi Arabia;SAU;1990;;1.1
175;Senegal;SEN;1990;19.55;1.1
176;Serbia;SRB;1990;93.96;1.1
177;Seychelles;SYC;1990;89.29;1.1
178;Sierra Leone;SLE;1990;18.36;1.1
179;Singapore;SGP;1990;100.0;1.1
180;Sint Maarten (Dutch part);SXM;1990;100.0;1.1
181;Slovak Republic;SVK;1990;100.0;1.1
182;Slovenia;SVN;1990;100.0;1.1
183;Solomon Islands;SLB;1990;;1.1
184;Somalia;SOM;1990;;1.1
185;South Africa;ZAF;1990;56.51;1.1
186;South Sudan;SSD;1990;;1.1
187;Spain;ESP;1990;100.0;1.1
188;Sri Lanka;LKA;1990;52.6;1.1
189;St. Kitts and Nevis;KNA;1990;87.06;1.1
190;St. Lucia;LCA;1990;82.48;1.1
191;St. Martin (French part);MAF;1990;100.0;1.1
192;St. Vincent and the Grenadines;VCT;1990;65.9;1.1
193;Sudan;SDN;1990;32.8;1.1
194;Suriname;SUR;1990;96.91;1.1
195;Swaziland;SWZ;1990;;1.1
196;Sweden;SWE;1990;100.0;1.1
197;Switzerland;CHE;1990;100.0;1.1
198;Syrian Arab Republic;SYR;1990;77.07;1.1
199;Taiwan, China;TWN;1990;;1.1
200;Tajikistan;TJK;1990;96.79;1.1
201;Tanzania;TZA;1990;5.33;1.1
202;Thailand;THA;1990;65.16;1.1
203;Timor-Leste;TMP;1990;8.61;1.1
204;Togo;TGO;1990;;1.1
205;Tonga;TON;1990;77.78;1.1
206;Trinidad and Tobago;TTO;1990;82.42;1.1
207;Tunisia;TUN;1990;88.01;1.1
208;Turkey;TUR;1990;88.15;1.1
209;Turkmenistan;TKM;1990;98.15;1.1
210;Turks and Caicos Islands;TCA;1990;88.7;1.1
211;Tuvalu;TUV;1990;90.66;1.1
212;Uganda;UGA;1990;2.96;1.1
213;Ukraine;UKR;1990;90.19;1.1
214;United Arab Emirates;ARE;1990;100.0;1.1
215;United Kingdom;GBR;1990;100.0;1.1
216;United States;USA;1990;100.0;1.1
217;Uruguay;URY;1990;95.74;1.1
218;Uzbekistan;UZB;1990;98.39;1.1
219;Vanuatu;VUT;1990;12.97;1.1
220;Venezuela, RB;VEN;1990;97.49;1.1
221;Vietnam;VNM;1990;73.86;1.1
222;Virgin Islands (U.S.);VIR;1990;100.0;1.1
223;West Bank and Gaza;WBG;1990;97.74;1.1
224;Western Sahara;ESH;1990;;1.1
225;Yemen, Rep.;YEM;1990;35.17;1.1
226;Zambia;ZMB;1990;13.9;1.1
227;Zimbabwe;ZWE;1990;29.89;1.1
228;Afghanistan;AFG;1990;;1.2
229;Albania;ALB;1990;100.0;1.2
230;Algeria;DZA;1990;92.24;1.2
231;American Samoa;ASM;1990;;1.2
232;Andorra;ADO;1990;100.0;1.2
233;Angola;AGO;1990;20.09;1.2
234;Antigua and Barbuda;ATG;1990;100.0;1.2
235;Argentina;ARG;1990;;1.2
236;Armenia;ARM;1990;96.81;1.2
237;Aruba;ABW;1990;99.84;1.2
238;Australia;AUS;1990;100.0;1.2
239;Austria;AUT;1990;100.0;1.2
240;Azerbaijan;AZE;1990;90.24;1.2
241;Bahamas, The;BHS;1990;99.84;1.2
242;Bahrain;BHR;1990;;1.2
243;Bangladesh;BGD;1990;;1.2
244;Barbados;BRB;1990;;1.2
245;Belarus;BLR;1990;100.0;1.2
246;Belgium;BEL;1990;100.0;1.2
247;Belize;BLZ;1990;71.49;1.2
248;Benin;BEN;1990;;1.2
249;Bermuda;BMU;1990;100.0;1.2
250;Bhutan;BTN;1990;;1.2
251;Bolivia;BOL;1990;0.55;1.2
252;Bosnia and Herzegovina;BIH;1990;91.39;1.2
253;Botswana;BWA;1990;;1.2
254;Brazil;BRA;1990;55.42;1.2
255;British Virgin Islands;VGB;1990;;1.2
256;Brunei Darussalam;BRN;1990;100.0;1.2
257;Bulgaria;BGR;1990;100.0;1.2
258;Burkina Faso;BFA;1990;;1.2
259;Burundi;BDI;1990;;1.2
260;Cambodia;KHM;1990;;1.2
261;Cameroon;CMR;1990;13.31;1.2
262;Canada;CAN;1990;100.0;1.2
263;Cape Verde;CPV;1990;;1.2
264;Cayman Islands;CYM;1990;100.0;1.2
265;Central African Republic;CAF;1990;;1.2
266;Chad;TCD;1990;;1.2
267;Channel Islands;CHI;1990;100.0;1.2
268;Chile;CHL;1990;62.89;1.2
269;China;CHN;1990;86.51;1.2
270;Colombia;COL;1990;71.0;1.2
271;Comoros;COM;1990;3.44;1.2
272;Congo, Dem. Rep.;ZAR;1990;1.1;1.2
273;Congo, Rep.;COG;1990;18.86;1.2
274;Cook Islands;COK;1990;96.5;1.2
275;Costa Rica;CRI;1990;94.86;1.2
276;Cote d'Ivoire;CIV;1990;94.86;1.2
277;Croatia;HRV;1990;100.0;1.2
278;Cuba;CUB;1990;80.69;1.2
279;Curacao;CUW;1990;80.69;1.2
280;Cyprus;CYP;1990;100.0;1.2
281;Czech Republic;CZE;1990;100.0;1.2
282;Denmark;DNK;1990;100.0;1.2
283;Djibouti;DJI;1990;10.61;1.2
284;Dominica;DMA;1990;;1.2
285;Dominican Republic;DOM;1990;53.15;1.2
286;Ecuador;ECU;1990;72.81;1.2
287;Egypt, Arab Rep.;EGY;1990;89.13;1.2
288;El Salvador;SLV;1990;42.77;1.2
289;Equatorial Guinea;GNQ;1990;29.56;1.2
290;Eritrea;ERI;1990;0.09;1.2
291;Estonia;EST;1990;100.0;1.2
292;Ethiopia;ETH;1990;;1.2
293;Faeroe Islands;FRO;1990;100.0;1.2
294;Falkland Islands;FLK;1990;;1.2
295;Fiji;FJI;1990;60.83;1.2
296;Finland;FIN;1990;100.0;1.2
297;France;FRA;1990;100.0;1.2
298;French Guyana;GUF;1990;;1.2
299;French Polynesia;PYF;1990;100.0;1.2
300;Gabon;GAB;1990;21.64;1.2
301;Gambia, The;GMB;1990;21.39;1.2
302;Georgia;GEO;1990;99.07;1.2
303;Germany;DEU;1990;100.0;1.2
304;Ghana;GHA;1990;;1.2
305;Gibraltar;GIB;1990;100.0;1.2
306;Greece;GRC;1990;100.0;1.2
307;Greenland;GRL;1990;100.0;1.2
308;Grenada;GRD;1990;;1.2
309;Guadeloupe;GLP;1990;;1.2
310;Guam;GUM;1990;;1.2
311;Guatemala;GTM;1990;39.94;1.2
312;Guinea;GIN;1990;0.18;1.2
313;Guinea-Bissau;GNB;1990;;1.2
314;Guyana;GUY;1990;58.77;1.2
315;Haiti;HTI;1990;0.38;1.2
316;Honduras;HND;1990;25.88;1.2
317;Hong Kong SAR, China;HKG;1990;100.0;1.2
318;Hungary;HUN;1990;100.0;1.2
319;Iceland;ISL;1990;100.0;1.2
320;India;IND;1990;31.93;1.2
321;Indonesia;IDN;1990;43.52;1.2
322;Iran, Islamic Rep.;IRN;1990;94.11;1.2
323;Iraq;IRQ;1990;81.98;1.2
324;Ireland;IRL;1990;100.0;1.2
325;Isle of Man;IMY;1990;100.0;1.2
326;Israel;ISR;1990;100.0;1.2
327;Italy;ITA;1990;100.0;1.2
328;Jamaica;JAM;1990;53.2;1.2
329;Japan;JPN;1990;100.0;1.2
330;Jordan;JOR;1990;90.0;1.2
331;Kazakhstan;KAZ;1990;96.01;1.2
332;Kenya;KEN;1990;0.98;1.2
333;Kiribati;KIR;1990;94.51;1.2
334;Korea, Dem. Rep.;PRK;1990;;1.2
335;Korea, Rep.;KOR;1990;;1.2
336;Kosovo;KSV;1990;99.84;1.2
337;Kuwait;KWT;1990;100.0;1.2
338;Kyrgyz Republic;KGZ;1990;98.24;1.2
339;Lao PDR;LAO;1990;0.88;1.2
340;Latvia;LVA;1990;100.0;1.2
341;Lebanon;LBN;1990;89.76;1.2
342;Lesotho;LSO;1990;;1.2
343;Liberia;LBR;1990;;1.2
344;Libya;LBY;1990;100.0;1.2
345;Liechtenstein;LIE;1990;100.0;1.2
346;Lithuania;LTU;1990;100.0;1.2
347;Luxembourg;LUX;1990;100.0;1.2
348;Macao SAR, China;MAC;1990;;1.2
349;Macedonia, FYR;MKD;1990;88.97;1.2
350;Madagascar;MDG;1990;1.35;1.2
351;Malawi;MWI;1990;0.28;1.2
352;Malaysia;MYS;1990;88.75;1.2
353;Maldives;MDV;1990;96.53;1.2
354;Mali;MLI;1990;;1.2
355;Malta;MLT;1990;100.0;1.2
356;Marshall Islands;MHL;1990;;1.2
357;Martinique;MTQ;1990;;1.2
358;Mauritania;MRT;1990;1.58;1.2
359;Mauritius;MUS;1990;100.0;1.2
360;Mayotte;MYT;1990;;1.2
361;Mexico;MEX;1990;79.87;1.2
362;Micronesia, Fed. Sts.;FSM;1990;;1.2
363;Moldova;MDA;1990;89.72;1.2
364;Monaco;MCO;1990;100.0;1.2
365;Mongolia;MNG;1990;100.0;1.2
366;Montenegro;MNE;1990;100.0;1.2
367;Montserrat;MSR;1990;;1.2
368;Morocco;MAR;1990;8.93;1.2
369;Mozambique;MOZ;1990;;1.2
370;Myanmar;MMR;1990;;1.2
371;Namibia;NAM;1990;3.67;1.2
372;Nepal;NPL;1990;;1.2
373;Netherlands;NLD;1990;100.0;1.2
374;Netherlands Antilles;ANT;1990;;1.2
375;New Caledonia;NCL;1990;;1.2
376;New Zealand;NZL;1990;100.0;1.2
377;Nicaragua;NIC;1990;36.08;1.2
378;Niger;NER;1990;;1.2
379;Nigeria;NGA;1990;8.6;1.2
380;Northern Mariana Islands;MNP;1990;;1.2
381;Norway;NOR;1990;100.0;1.2
382;Oman;OMN;1990;;1.2
383;Pakistan;PAK;1990;43.27;1.2
384;Palau;PLW;1990;96.42;1.2
385;Panama;PAN;1990;43.49;1.2
386;Papua New Guinea;PNG;1990;;1.2
387;Paraguay;PRY;1990;58.52;1.2
388;Peru;PER;1990;1.77;1.2
389;Philippines;PHL;1990;38.89;1.2
390;Poland;POL;1990;100.0;1.2
391;Portugal;PRT;1990;100.0;1.2
392;Puerto Rico;PRI;1990;;1.2
393;Qatar;QAT;1990;100.0;1.2
394;Reunion;REU;1990;;1.2
395;Romania;ROM;1990;100.0;1.2
396;Russian Federation;RUS;1990;100.0;1.2
397;Rwanda;RWA;1990;;1.2
398;Saint Pierre et Miquelon;SPM;1990;;1.2
399;Samoa;WSM;1990;92.14;1.2
400;San Marino;SMR;1990;100.0;1.2
401;Sao Tome and Principe;STP;1990;29.35;1.2
402;Saudi Arabia;SAU;1990;;1.2
403;Senegal;SEN;1990;;1.2
404;Serbia;SRB;1990;99.84;1.2
405;Seychelles;SYC;1990;56.3;1.2
406;Sierra Leone;SLE;1990;1.66;1.2
407;Singapore;SGP;1990;100.0;1.2
408;Sint Maarten (Dutch part);SXM;1990;100.0;1.2
409;Slovak Republic;SVK;1990;100.0;1.2
410;Slovenia;SVN;1990;100.0;1.2
411;Solomon Islands;SLB;1990;;1.2
412;Somalia;SOM;1990;;1.2
413;South Africa;ZAF;1990;26.44;1.2
414;South Sudan;SSD;1990;;1.2
415;Spain;ESP;1990;100.0;1.2
416;Sri Lanka;LKA;1990;50.77;1.2
417;St. Kitts and Nevis;KNA;1990;95.0;1.2
418;St. Lucia;LCA;1990;78.36;1.2
419;St. Martin (French part);MAF;1990;100.0;1.2
420;St. Vincent and the Grenadines;VCT;1990;66.05;1.2
421;Sudan;SDN;1990;13.2;1.2
422;Suriname;SUR;1990;99.78;1.2
423;Swaziland;SWZ;1990;13.07;1.2
424;Sweden;SWE;1990;100.0;1.2
425;Switzerland;CHE;1990;100.0;1.2
426;Syrian Arab Republic;SYR;1990;61.39;1.2
427;Taiwan, China;TWN;1990;;1.2
428;Tajikistan;TJK;1990;98.94;1.2
429;Tanzania;TZA;1990;0.21;1.2
430;Thailand;THA;1990;77.52;1.2
431;Timor-Leste;TMP;1990;;1.2
432;Togo;TGO;1990;;1.2
433;Tonga;TON;1990;88.81;1.2
434;Trinidad and Tobago;TTO;1990;93.33;1.2
435;Tunisia;TUN;1990;95.26;1.2
436;Turkey;TUR;1990;88.43;1.2
437;Turkmenistan;TKM;1990;98.29;1.2
